molecular_weight,num_atoms,num_bonds,num_rings,formal_charge,cid,smiles
253.183049736,42,43,2,0,5025,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
358.12771967600054,44,46,3,0,5026,[H]c1c([H])c([C@@]2([H])C(C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])=C(C([H])([H])[H])N([H])C(C([H])([H])[H])=C2[N+](=O)[O-])c2nonc2c1[H]
321.10664632000055,41,43,3,0,5027,[H]Sc1nc2c([H])c(Cl)c([H])c3c2n1C([H])([H])[C@@]([H])(C([H])([H])[H])N(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C3([H])[H]
437.95785195200045,39,40,2,0,5028,[H]c1c([H])c(Br)c([C@@]([H])(C(=O)N([H])[H])N([H])c2c([H])c(C([H])([H])[H])c([H])c([H])c2C(=O)C([H])([H])[H])c(Br)c1[H]
359.1303625320006,46,48,3,0,5029,[H]c1nc(C([H])([H])[S@](=O)c2nc3c([H])c([H])c([H])c([H])c3n2[H])c(C([H])([H])[H])c(OC([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])c1[H]
165.1153641,27,27,1,0,5032,[H]O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])[C@@]([H])(N([H])C([H])([H])[H])C([H])([H])[H]
364.0713659440005,42,44,3,0,5033,[H]Oc1c([H])c(O[H])c2c(c1Cl)C([H])([H])C(=O)C([H])=C([H])C([H])=C([H])[C@]1([H])O[C@@]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])OC2=O
518.7966506960001,29,31,3,0,5034,[H]Oc1c(Br)c([H])c(C([H])=C2C(=O)N([H])c3c([H])c([H])c(I)c([H])c32)c([H])c1Br
473.16607934400076,61,65,5,0,5035,[H]Oc1c([H])c([H])c(-c2sc3c([H])c(O[H])c([H])c([H])c3c2C(=O)c2c([H])c([H])c(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c1[H]
416.12060637200057,50,53,4,0,5036,[H]OC(=O)C([H])([H])C([H])([H])n1c2c(c3c([H])c([H])c([H])c([H])c31)C([H])([H])[C@]([H])(N([H])S(=O)(=O)c1c([H])c([H])c(F)c([H])c1[H])C([H])([H])C2([H])[H]
